Versão:	V00004	Classificação nacional de profissões, versão 1994	
4	="2.3.2.0"	="Docentes do ensino básico (2º e 3º ciclos) e secundário"	
5	="2.3.2.0.05"	="Professor do ensino básico (2º e 3º ciclos) e secundário"	
5	="2.3.2.0.90"	="Outros docentes do ensino básico (2º e 3º ciclos) e secundário"	
3	="2.3.5"	="Docentes do ensino superior, básico,  secundário e similares não classificados em outra parte"	
4	="2.3.5.1"	="Outros especialistas de ensino"	
5	="2.3.5.1.05"	="Técnico de formação"	
5	="2.3.5.1.10"	="Técnico de reeducação"	
5	="2.3.5.1.90"	="Outros especialistas de ensino"	
4	="2.3.5.2"	="Inspectores de educação"	
5	="2.3.5.2.05"	="Inspector de educação"	
5	="2.3.5.2.90"	="Outros inspectores de educação"	
4	="2.3.5.9"	="Outros docentes do ensino superior, básico, secundário e similares não classificados em outra parte"	
5	="2.3.5.9.05"	="Formador"	
5	="2.3.5.9.10"	="Professor do ensino vocacional artístico"	
5	="2.3.5.9.15"	="Professor de gimno e desportiva"	
5	="2.3.5.9.90"	="Outros docentes do ensino superior, básico, secundário e similares não classificados em outra parte"	
2	="2.4"	="Outros especialistas das profissões intelectuais e científicas"	
3	="2.4.1"	="Especialistas de profissões administrativas e comerciais"	
4	="2.4.1.1"	="Contabilistas"	
5	="2.4.1.1.05"	="Contabilista"	
5	="2.4.1.1.90"	="Outros contabilistas"	
4	="2.4.1.2"	="Especialistas em assuntos de pessoal e informação profissional"	
5	="2.4.1.2.05"	="Técnico de recursos humanos"	
5	="2.4.1.2.10"	="Conselheiro de orientação profissional"	
5	="2.4.1.2.90"	="Outros especialistas em assuntos de pessoal e informação profissional"	
4	="2.4.1.9"	="Outras profissões administrativas ou comerciais não classificadas em outra parte"	
5	="2.4.1.9.05"	="Planeador de meios-publicidade"	
5	="2.4.1.9.10"	="Comprador de espaço e tempo - publicidade"	
5	="2.4.1.9.15"	="Supervisor de contas - publicidade"	
5	="2.4.1.9.20"	="Executivo de contas - publicidade"	
5	="2.4.1.9.25"	="Técnico de relações públicas"	
5	="2.4.1.9.30"	="Gestor de produto"	
5	="2.4.1.9.90"	="Outras profissões administrativas ou comerciais não classificados em outra parte"	
3	="2.4.2"	="Advogados, magistrados e outros juristas"	
4	="2.4.2.1"	="Advogados e consultores jurídicos"	
5	="2.4.2.1.05"	="Advogado"	
5	="2.4.2.1.10"	="Consultor jurídico"	
5	="2.4.2.1.90"	="Outros advogados e consultores jurídicos"	
4	="2.4.2.2"	="Magistrados judiciais"	
5	="2.4.2.2.05"	="Juíz"	
5	="2.4.2.2.10"	="Magistrado do ministério público"	
5	="2.4.2.2.90"	="Outros magistrados judiciais"	
4	="2.4.2.9"	="Outros juristas não classificados em outra parte"	
5	="2.4.2.9.05"	="Conservador do registo civil"	
5	="2.4.2.9.10"	="Conservador do registo automóvel"	
5	="2.4.2.9.15"	="Conservador do registo comercial"	
5	="2.4.2.9.20"	="Conservador do registo predial"	
5	="2.4.2.9.25"	="Notário"	
5	="2.4.2.9.90"	="Outros juristas não classificados em outra parte"	
3	="2.4.3"	="Arquivistas, bibliotecários, documentalistas e profissões similares"	
4	="2.4.3.1"	="Arquivistas e conservadores de museus"	
5	="2.4.3.1.05"	="Arquivista"	
5	="2.4.3.1.10"	="Conservador de museus"	
5	="2.4.3.1.90"	="Outros arquivistas e conservadores de museus"	
4	="2.4.3.2"	="Bibliotecários e documentalistas"	
5	="2.4.3.2.05"	="Bibliotecário - documentalista"	
5	="2.4.3.2.90"	="Outros bibliotecários e documentalistas"	
3	="2.4.4"	="Especialistas das ciências sociais e humanas"	
4	="2.4.4.1"	="Economistas"	
5	="2.4.4.1.05"	="Economista"	
5	="2.4.4.1.10"	="Revisor oficial de contas"	
5	="2.4.4.1.90"	="Outros economistas"	
4	="2.4.4.2"	="Sociólogos, antropólogos e similares"	
5	="2.4.4.2.05"	="Sociólogo"	
5	="2.4.4.2.10"	="Antropólogo"	
5	="2.4.4.2.15"	="Arqueólogo"	
5	="2.4.4.2.20"	="Geógrafo"	
5	="2.4.4.2.90"	="Outros sociólogos, antropólogos e similares"	
4	="2.4.4.3"	="Historiadores e especialistas das ciências políticas"	
5	="2.4.4.3.05"	="Historiador"	
5	="2.4.4.3.10"	="Especialista das ciências políticas"	
5	="2.4.4.3.90"	="Outros historiadores e especialistas das ciências políticas"	
4	="2.4.4.4"	="Filólogos, tradutores e intérpretes"	
